concept_id,item_code,asin,amz_title,level_of_truth,match_type,match_confidence,evidence,caveats,human_review_needed,review_status,reviewer,valid_from
CG-0001,ECACR-3220 DST,B086T73KJW,Ecolution Reversible 19.5x11 Non-Stick Double Burner,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B086T73KJW); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0001,ECAG-3220 DST,B00E3NMCBU,Ecolution Reversible Grill/Griddle Pan Non-Stick,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B00E3NMCBU); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0001,ECAGR-3220 DST,B086T6CY7Y,Ecolution Reversible 19.5x11 Non-Stick Double Burner,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B086T6CY7Y); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0001,EOI5-D2816,B0858VNZTM,Ecolution Farmhouse Cast Aluminum Nonstick,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B0858VNZTM); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0001,EOI5-D4506,B08591GHP8,Ecolution Farmhouse Cast Aluminum Nonstick Stainless,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B08591GHP8); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0001,EOI5-D5120,B0858VDSHN,Ecolution Farmhouse Cast Aluminum Nonstick Stainless,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B0858VDSHN); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0001,EOI5-D5124,B0858Y9547,Ecolution Farmhouse Cast Aluminum Nonstick Stainless,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B0858Y9547); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0001,EOI5-D5128,B085916KSD,Ecolution Farmhouse Cast Aluminum Nonstick Stainless,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B085916KSD); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0001,EOI6-L5120,B08WYT4QHH,Ecolution Farmhouse Cast Aluminum Nonstick,product,exact_key_via_rule,0.75,asinxref exact ASIN<->item_code (B08WYT4QHH); concept via title ~* 'cast alumin',"multi-token material rule; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0007,GFA01-K049,B08BR7SP37,Goodful Stackable Lunch Box Container Bento Style,product,exact_key_via_rule,0.55,asinxref exact ASIN<->item_code (B08BR7SP37); concept via title ~* 'stackable',"single token within Bakeware category; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0007,GFB09-K049,B08BZYZPL7,Goodful Stackable Lunch Box Container Bento Style,product,exact_key_via_rule,0.55,asinxref exact ASIN<->item_code (B08BZYZPL7); concept via title ~* 'stackable',"single token within Bakeware category; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0007,GFE00-K049,B08BR3LTVB,Goodful Stackable Lunch Box Container Bento Style,product,exact_key_via_rule,0.55,asinxref exact ASIN<->item_code (B08BR3LTVB); concept via title ~* 'stackable',"single token within Bakeware category; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0007,GFE03-K049,B08C1MJY39,Goodful Stackable Lunch Box Container Bento Style,product,exact_key_via_rule,0.55,asinxref exact ASIN<->item_code (B08C1MJY39); concept via title ~* 'stackable',"single token within Bakeware category; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0007,GFP05-K049,B08BZYVTMB,Goodful Stackable Lunch Box Container Bento Style,product,exact_key_via_rule,0.55,asinxref exact ASIN<->item_code (B08BZYVTMB); concept via title ~* 'stackable',"single token within Bakeware category; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0014,EEYBK-1220 DST,B086V87344,Ecolution Easy Clean Nonstick Cookware Set,product,exact_key_via_rule,0.65,"asinxref exact ASIN<->item_code (B086V87344); concept via title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo'","catches spice jars - review; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0014,GZA10-P029,B084TM9VB3,Goodful Cookware Set Premium Non-Stick,product,exact_key_via_rule,0.65,"asinxref exact ASIN<->item_code (B084TM9VB3); concept via title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo'","catches spice jars - review; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0014,GZA11-P033,B084TMPDYC,Goodful 5.5-Quart Nonstick Aluminum Stock Pot,product,exact_key_via_rule,0.65,"asinxref exact ASIN<->item_code (B084TMPDYC); concept via title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo'","catches spice jars - review; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0014,GZR05-P029,B084TMDG84,Goodful Cookware Set Premium Non-Stick,product,exact_key_via_rule,0.65,"asinxref exact ASIN<->item_code (B084TMDG84); concept via title ~* 'bamboo.{0,30}(lid|glass)|glass.{0,40}bamboo'","catches spice jars - review; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,CCCUL-1213 DST,B08V8DWWTV,Cooking Light Nonstick Ceramic Pots and Pans Silicone,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B08V8DWWTV); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,CCCUR-1213 DST,B07DRPWQ4F,Cooking Light Allure Non-Stick Ceramic Silicone Stay Cool,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B07DRPWQ4F); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,CCCUR-5102,B081P67S8Y,Cooking Light Allure Premier Ceramic Non-Stick 8 inch,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B081P67S8Y); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,CLC04-P004,B081P8QVV6,Cooking Light Dishwasher Safe Silicone Handle Specialty,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B081P8QVV6); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,CLK00-K002,B081QWFXKN,Cooking Light 2-Piece Silicone 9 and 12 Inch Salad Tool,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B081QWFXKN); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,CLR00-K020,B081TRP7Z2,Cooking Light 3 Piece Silicone Spoonula Spatula Baster,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B081TRP7Z2); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,CLX01-K018,B081R3L8N6,Cooking Light 2 Piece Silicone Whisk Set,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B081R3L8N6); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,EKPBK-4215 DST,B086R7CSR8,Ecolution Original Microwave Popcorn Popper Borosilicate,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B086R7CSR8); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,EKUL-1620 DST,B00FZH3WGC,Ecolution Universal Glass Lid Silicone Rim,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B00FZH3WGC); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,EKUL-2428 DST,B00FZH3WAS,Ecolution Universal Tempered Glass Vented Lid,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B00FZH3WAS); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,EVRE-3228 DST,B00BF9Q1G2,Ecolution Non-Stick Griddle Pan Silicone Handle,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B00BF9Q1G2); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,EVRE-5120,B00BF9Q1H6,Ecolution Evolve Non-Stick Fry Pan Silicone Handle,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B00BF9Q1H6); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,GFX05-K003,B07TVDFXS9,Goodful Silicone and Beechwood Mini Kitchen Utensil Set,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B07TVDFXS9); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,GFX08-K019,B08BQZ5YF5,Goodful Universal Silicone Lids for Pots and Pans,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B08BQZ5YF5); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,GFY01-K023,B084TNY4MQ,Goodful Poached Egg Maker Egg Bite Mold Silicone,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B084TNY4MQ); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,TBGN-0142,B005M8GFFO,Primula Tea Bag Buddy Silicone,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B005M8GFFO); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,TBHS-0142,B005M8GFFY,Primula Buddy Silicone Tea Bag Holder,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B005M8GFFY); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,XSP-6503,B003PUPXPY,Primula Replacement Silicone Gaskets 3 Cup Espresso,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B003PUPXPY); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0015,XSP-6506,B003PUP1FQ,Primula Replacement Silicone Gaskets 6 Cup Espresso,product,exact_key_via_rule,0.70,"asinxref exact ASIN<->item_code (B003PUP1FQ); concept via title ~* 'silicone.{0,30}(utensil|tool|spatula)'","material+type proximity; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0018,CCCUA-9526 DST,B08V8YNRJJ,Cooking Light Nonstick Ceramic Deep Cooker,product,exact_key_via_rule,0.60,"asinxref exact ASIN<->item_code (B08V8YNRJJ); concept via title ~* 'ceramic.{0,30}bakeware|bakeware.{0,30}ceramic'","missing modular/stackable qualifier - review; ASIN link exact, concept link rule-based",true,,,2026-07-05
CG-0018,CCCUL-1213 DST,B08V8DWWTV,Cooking Light Nonstick Ceramic Pots and Pans Set,product,exact_key_via_rule,0.60,"asinxref exact ASIN<->item_code (B08V8DWWTV); concept via title ~* 'ceramic.{0,30}bakeware|bakeware.{0,30}ceramic'","missing modular/stackable qualifier - review; ASIN link exact, concept link rule-based",true,,,2026-07-05
